X,Y,Z,azimuth,dip,polarity,formation
507061.53547394,7487485.07593403,489.5618249524731,305.0,15,1,Jeerinah_Formation
506878.77429541,7487552.68275112,499.47058310018775,290.0,12,1,Jeerinah_Formation
506624.18651084,7487760.90283353,563.6224036777649,290.0,12,1,Jeerinah_Formation
507782.98402641,7486540.48794767,476.2573344399792,320.0,15,1,Jeerinah_Formation
507733.46524728,7487799.25625798,499.7485134049697,137.0,15,1,Jeerinah_Formation
506740.65427719,7487407.7014783,501.53977870583816,290.0,12,1,Jeerinah_Formation
