X,Y,Z,DipDirection,dip,DipPolarity,formation
506417.25780508,7491318.28142618,452.9918991198485,66.2088692215952,90,1,Fault_7344
508555.7245734783,7486286.997082645,452.9918991198485,66.2088692215952,90,1,Fault_7344
504507.2766991516,7495469.90680081,573.358704908952,66.2088692215952,90,1,Fault_7344
502590.86900248,7487736.7019943,576.7237923970847,45.626238790567136,90,1,Fault_5997
499497.8827818414,7490848.620475542,576.7237923970847,45.626238790567136,90,1,Fault_5997
503960.8639612486,7486286.997082645,458.86976031798065,45.626238790567136,90,1,Fault_5997
504410.59929229,7489048.73999597,460.9698825835571,55.57057700068529,90,1,Fault_6205
506573.8072893639,7486286.997082645,460.9698825835571,55.57057700068529,90,1,Fault_6205
500279.2087871885,7495469.90680081,519.1045511946054,55.57057700068529,90,1,Fault_6205
