X,Y,Z,azimuth,dip,polarity,formation
507669.084703955,7488447.280381884,459.42407009118034,330.50444007892423,11.867318276571282,1,Jeerinah_Formation
502570.86456186,7490877.720985506,631.9931049647643,277.90128843258424,11.867529842440902,1,Brockman_Iron_Formation
501699.660072305,7489545.958803089,670.7205344850839,333.2638128555066,11.867346165569188,1,Brockman_Iron_Formation
500032.754366445,7487573.678852165,740.5120707849363,302.50998601128185,11.867082794235273,1,Brockman_Iron_Formation
505803.888066685,7490714.016187165,632.1294647821126,273.36402696109417,11.867522459380595,1,Brockman_Iron_Formation
505547.34578432003,7489592.0047320705,626.4373632485865,313.8362505284836,11.867413258139493,1,Brockman_Iron_Formation
504727.174590555,7488972.48475066,625.0721546456765,305.90537912352295,11.867344967006119,1,Brockman_Iron_Formation
502506.27033599,7489331.470461555,577.609453702641,320.0645489981622,11.867367072304916,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
507537.309286535,7494231.30468879,594.916561961829,328.2552423781788,11.867899628534701,1,Wittenoom_Formation
501316.335870395,7487842.190383419,555.1298507265751,311.0171970734581,11.867165602632596,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
503508.19960813504,7494723.25457163,553.5038267284924,348.2101140663313,11.867903305706477,1,Weeli_Wolli_Formation
501794.41466101,7487413.19509935,526.0432682025536,323.34210813279265,11.867119335703194,1,Wittenoom_Formation
506308.45064574,7489842.264887515,534.1548051845994,304.546915066776,11.867473493999142,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
505251.21514274,7488839.239891025,549.8286508881284,317.844767203731,11.867351632131417,1,Mount_McRae_Shale_and_Mount_Sylvia_Formation
507262.168567595,7493127.545411006,628.4656141125574,320.5485608365383,11.867797003565812,1,Marra_Mamba_Iron_Formation
505864.43985773996,7488081.500765645,542.4375834675062,323.86732460026496,11.867244209418331,1,Wittenoom_Formation
502940.950755135,7489131.7147364095,573.1496438424381,323.5853682214294,11.86731141669101,1,Wittenoom_Formation
503512.21957496495,7488915.474538526,625.6507791560696,313.1083756039129,11.867329569805563,1,Marra_Mamba_Iron_Formation
506237.43621334,7487618.25515727,622.8967060629375,306.69934013677045,11.867191749797101,1,Marra_Mamba_Iron_Formation
