X,Y,Z,formation
508492.03667709936,7486395.517029333,459.4384382826413,Bunjinah_Formation
507187.9616898079,7489205.664314009,497.9387728282651,Marra_Mamba_Iron_Formation
508500.8554487335,7486400.2318216795,459.5083032053974,Bunjinah_Formation
506081.8555595476,7492324.761145401,678.8115988420714,Marra_Mamba_Iron_Formation
499656.2507721853,7490703.535583273,576.1294845898946,Brockman_Iron_Formation
502778.1300622412,7487493.693136076,494.70031046829064,Jeerinah_Formation
499649.32587293524,7490696.321307816,574.801001266092,Brockman_Iron_Formation
502984.32131023007,7487212.28094919,494.33329548656394,Jeerinah_Formation
506547.9692937762,7486315.685397316,464.50499974114825,Bunjinah_Formation
504036.2180386079,7489459.653440876,625.9323709755054,Marra_Mamba_Iron_Formation
506556.2039615668,7486321.359042209,464.97713759006757,Jeerinah_Formation
505931.4394138694,7487185.36213568,557.9048551711011,Marra_Mamba_Iron_Formation
