x,y,formation,app_th,thickness,norm_th
509057.8012009365,7489439.492822001,Jeerinah_Formation,3936.647425927185,982,1.6312292358803986
507561.3149599759,7488378.578111337,Jeerinah_Formation,457.4076149837909,222,0.3687707641196013
502162.100737675,7489842.45884371,Brockman_Iron_Formation,3342.26868876637,562,1.0
502813.34973793,7489711.718942375,Mount_McRae_Shale_and_Mount_Sylvia_Formation,593.1133021368506,224,0.9451476793248945
501964.42959267,7489060.708169466,Mount_McRae_Shale_and_Mount_Sylvia_Formation,552.8293934855454,217,0.9156118143459916
506423.709912525,7494366.04075543,Mount_McRae_Shale_and_Mount_Sylvia_Formation,423.8508874029447,105,0.4430379746835443
501533.685583595,7488079.694520565,Mount_McRae_Shale_and_Mount_Sylvia_Formation,804.0525909503884,282,1.1898734177215189
500590.37424772,7486974.18577416,Mount_McRae_Shale_and_Mount_Sylvia_Formation,792.318297872465,284,1.1983122362869199
506308.45064574,7489842.264887515,Mount_McRae_Shale_and_Mount_Sylvia_Formation,4079.72182910151,865,3.649789029535865
506308.45064574,7489842.264887515,Mount_McRae_Shale_and_Mount_Sylvia_Formation,569.4596097944174,169,0.7130801687763713
505251.21514274,7488839.239891025,Mount_McRae_Shale_and_Mount_Sylvia_Formation,3798.709908127263,824,3.476793248945148
505251.21514274,7488839.239891025,Mount_McRae_Shale_and_Mount_Sylvia_Formation,459.8948611160354,237,1.0
508185.89483465,7494586.06526143,Wittenoom_Formation,780.6794502878989,159,0.7194570135746606
502144.842486215,7487554.45419062,Wittenoom_Formation,1512.1791155430917,366,1.6561085972850678
502144.842486215,7487554.45419062,Wittenoom_Formation,833.6351023025626,231,1.0452488687782806
501279.098366925,7486706.191822195,Wittenoom_Formation,729.9350304744903,722,3.266968325791855
506788.74451105855,7489361.923625865,Wittenoom_Formation,685.6446890357795,149,0.6742081447963801
505689.09024289495,7487980.7451937795,Wittenoom_Formation,967.488190532727,221,1.0
503365.35600305,7489450.72519809,Wittenoom_Formation,666.1790920124066,139,0.6289592760180995
507708.98317064,7493472.053611685,Marra_Mamba_Iron_Formation,737.5498711238304,49,0.4188034188034188
504038.85457307,7489323.23428681,Marra_Mamba_Iron_Formation,2050.5510575400144,304,2.5982905982905984
504038.85457307,7489323.23428681,Marra_Mamba_Iron_Formation,548.8296249918744,84,0.717948717948718
503188.66429134,7488404.96972814,Marra_Mamba_Iron_Formation,811.1770127698877,142,1.2136752136752136
507014.01943212,7488438.270622855,Marra_Mamba_Iron_Formation,773.647721091069,92,0.7863247863247863
505970.31758740207,7487170.346069733,Marra_Mamba_Iron_Formation,3970.453823694288,825,7.051282051282051
