Fault,HorizontalRadius,VerticalRadius,InfluenceDistance,incLength,colour
Fault_7344,6272.32765192403,6272.32765192403,3136.163825962015,10069.083751048722,#442082
Fault_5997,3988.5876742650507,3988.5876742650507,1994.2938371325254,6392.985794419483,#3cfde6
Fault_6205,6958.240427149372,6958.240427149372,3479.120213574686,11404.83991204265,#f1c26b
