formation,thickness median,thickness std,method
Yerelina_Subgroup,104.0,161.61184533377667,full
Yudnamutana_Subgroup,178.0,173.28857727114683,full
Emeroo_Subgroup,167.0,191.3130070504007,full
ABC_Range_Quartzite,144.0,103.05823596394418,full
Wilpena_Group,370.0,736.5140415045279,full
Umberatana_Group,470.5,537.6246436606718,full
Burra_Group,448.0,188.86863336095342,min
Pound_Subgroup,230.0,82.60515184364176,min
