X,Y,Z,formation
253531.7194466082,6425547.962826955,339.2690213206909,Wilpena_Group
253521.72201199413,6425548.189324501,338.8155646739163,Umberatana_Group
255107.2924410502,6428665.151776308,330.4765439936564,Umberatana_Group
259429.20771115136,6433349.377543824,458.1102128419724,ABC_Range_Quartzite
255113.99154698473,6428657.727358507,330.62280265093983,ABC_Range_Quartzite
266017.6130438066,6413151.21358305,414.6062440703334,Unnamed_GIS_Unit___see_description
264960.01767924544,6416174.755126981,408.1507552016643,Umberatana_Group
266026.94818109187,6413154.798999604,414.5869409621182,Unnamed_GIS_Unit___see_description
264969.6626279104,6416177.396142932,408.35540718981525,Yudnamutana_Subgroup
270685.0636010584,6447468.6269262135,448.00000000000006,Burra_Group
275639.61704475735,6446543.925528538,480.054045672571,Unnamed_GIS_Unit___see_description
276716.161796245,6446317.908253674,495.1408914902183,Umberatana_Group
270683.6680467872,6447458.724783603,448.0,Burra_Group
271897.0189209582,6447257.428017923,454.67036756951666,Unnamed_GIS_Unit___see_description
273894.208328051,6446839.347307053,471.22634899176296,Umberatana_Group
294329.63116551546,6442641.157656115,458.2224005314288,Emeroo_Subgroup
294320.7429690804,6442645.740227897,458.2724400062989,Emeroo_Subgroup
297699.5059562009,6445736.824094993,404.64764713313616,Emeroo_Subgroup
297689.61105696054,6445735.378076659,404.6262754227072,Emeroo_Subgroup
300268.7993347952,6448494.757752541,368.969883176108,Emeroo_Subgroup
300258.8696352594,6448493.574085727,369.04876969150456,Emeroo_Subgroup
