x,y,formation,app_th,thickness,norm_th
273361.583401639,6405266.089208195,Yerelina_Subgroup,1071.3765047857414,1060,10.192307692307692
273361.583401639,6405266.089208195,Yerelina_Subgroup,349.0289821471834,347,3.3365384615384617
273361.583401639,6405266.089208195,Yerelina_Subgroup,349.0289821471834,347,3.3365384615384617
272775.2808093689,6408893.999526234,Yerelina_Subgroup,569.1543112257962,99,0.9519230769230769
272775.2808093689,6408893.999526234,Yerelina_Subgroup,569.1543112257962,99,0.9519230769230769
273273.4192087741,6411613.888841394,Yerelina_Subgroup,560.908731635317,101,0.9711538461538461
273273.4192087741,6411613.888841394,Yerelina_Subgroup,560.908731635317,101,0.9711538461538461
275531.9843297976,6416130.874914734,Yerelina_Subgroup,563.7827730527285,104,1.0
275531.9843297976,6416130.874914734,Yerelina_Subgroup,563.7827730527285,104,1.0
281287.96995928773,6423436.891097431,Yerelina_Subgroup,343.25455565675867,51,0.49038461538461536
282775.42287782684,6424927.763634585,Yerelina_Subgroup,408.5228710627675,56,0.5384615384615384
283719.9604047053,6425664.47923097,Yerelina_Subgroup,332.0358057006516,45,0.4326923076923077
261257.0835085228,6413824.435822512,Yerelina_Subgroup,367.68002610064826,59,0.5673076923076923
259027.62335122423,6408909.111109296,Yerelina_Subgroup,648.2292438816663,97,0.9326923076923077
256357.43133352115,6405215.192453387,Yerelina_Subgroup,539.7645203953771,534,5.134615384615385
256357.43133352115,6405215.192453387,Yerelina_Subgroup,539.7645203953771,534,5.134615384615385
254736.93957157803,6453520.095224051,Yerelina_Subgroup,480.0000375653296,53,0.5096153846153846
285113.0942964369,6455242.016588287,Yerelina_Subgroup,1302.709568476966,205,1.9711538461538463
287469.50548432383,6455114.6223872285,Yerelina_Subgroup,2441.8951696288677,306,2.9423076923076925
287924.63735018624,6451872.703783122,Yerelina_Subgroup,856.3565298939526,103,0.9903846153846154
287953.6366963586,6449692.975458732,Yerelina_Subgroup,876.748198946299,153,1.4711538461538463
286376.24167933944,6443658.945372822,Yerelina_Subgroup,603.2080253010013,108,1.0384615384615385
283789.35908120254,6435850.84726045,Yerelina_Subgroup,1112.4087932133057,164,1.5769230769230769
281447.5733275888,6431695.20974274,Yerelina_Subgroup,688.668731055026,108,1.0384615384615385
276648.3256351004,6425100.590950465,Yerelina_Subgroup,710.5205745662613,134,1.2884615384615385
276648.3256351004,6425100.590950465,Yerelina_Subgroup,710.5205745662613,134,1.2884615384615385
273689.0006741541,6421541.019959317,Yerelina_Subgroup,847.9863155111505,159,1.5288461538461537
271968.8384499701,6420325.676905653,Yerelina_Subgroup,835.2617181573668,109,1.0480769230769231
269835.8468746644,6419950.718534164,Yerelina_Subgroup,658.657892576525,90,0.8653846153846154
267894.20567976,6420890.930817982,Yerelina_Subgroup,930.2406797161026,129,1.2403846153846154
267047.2524996471,6421813.602319324,Yerelina_Subgroup,951.8718040620428,143,1.375
266365.6614829955,6422682.514178398,Yerelina_Subgroup,904.2347590989136,172,1.6538461538461537
266421.87226179545,6424183.621084089,Yerelina_Subgroup,870.9523999491643,148,1.4230769230769231
267840.780506724,6426605.323719364,Yerelina_Subgroup,811.0649696469836,141,1.3557692307692308
270722.4345140959,6430770.825677778,Yerelina_Subgroup,672.6770480127266,68,0.6538461538461539
276592.22980357974,6437205.040251145,Yerelina_Subgroup,645.4312872110514,95,0.9134615384615384
278604.4226366306,6440404.485113749,Yerelina_Subgroup,553.7350977388043,85,0.8173076923076923
280199.2203818209,6443975.080237703,Yerelina_Subgroup,477.2407700891937,97,0.9326923076923077
281857.8867040774,6448070.989453331,Yerelina_Subgroup,693.2126852985448,145,1.3942307692307692
283474.5435851563,6451754.183937993,Yerelina_Subgroup,873.6878733679271,138,1.3269230769230769
284169.3413201517,6454269.537376894,Yerelina_Subgroup,1492.0005720978663,235,2.2596153846153846
256255.711441388,6430502.917777127,Yerelina_Subgroup,236.4688842876432,47,0.4519230769230769
255936.6875782492,6432429.098696556,Yerelina_Subgroup,376.6780421304984,60,0.5769230769230769
256445.39890894195,6435148.748045906,Yerelina_Subgroup,383.2769651335825,62,0.5961538461538461
258416.03838794,6438214.849229828,Yerelina_Subgroup,577.7361644686894,78,0.75
262772.1679806334,6440256.217061822,Yerelina_Subgroup,593.8080101032973,89,0.8557692307692307
264620.0585598272,6439807.678426121,Yerelina_Subgroup,507.161060293167,110,1.0576923076923077
265623.0272822301,6438698.822367614,Yerelina_Subgroup,532.3770840473369,83,0.7980769230769231
265608.726382631,6435677.025384886,Yerelina_Subgroup,519.1895474908828,74,0.7115384615384616
264789.430119116,6434386.381636143,Yerelina_Subgroup,541.1378517774679,76,0.7307692307692307
261916.97865216347,6432081.705208683,Yerelina_Subgroup,507.6000445970531,86,0.8269230769230769
258196.73659970268,6428882.137851408,Yerelina_Subgroup,289.8610858222243,33,0.3173076923076923
257002.85408235743,6427041.970273759,Yerelina_Subgroup,467.3300904866837,61,0.5865384615384616
257362.99026844965,6423883.864455932,Yerelina_Subgroup,1357.4221461259394,179,1.7211538461538463
260698.573862432,6423755.2390701175,Yerelina_Subgroup,778.9321038139987,108,1.0384615384615385
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1928.4581338860296,246,1.3820224719101124
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1928.4581338860296,246,1.3820224719101124
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1089.374451279775,168,0.9438202247191011
304976.0473450251,6423795.447745559,Yudnamutana_Subgroup,663.573489550903,114,0.6404494382022472
