X,Y,Z,azimuth,dip,polarity,formation
266712.37462250225,6406549.412526609,469.6567915247491,264,80,1,Unnamed_GIS_Unit___see_description
266836.90243959974,6406611.336013309,468.6928762716588,270,44,1,Unnamed_GIS_Unit___see_description
266869.34416263574,6406162.7233918,470.29847169697325,98,68,1,Unnamed_GIS_Unit___see_description
267158.4243684265,6405765.78651781,463.33705699870984,4,60,1,Burra_Group
267224.82296063274,6405608.330234882,465.62273465896783,43,68,1,Burra_Group
267429.7292442186,6405440.772887143,467.5716089261021,43,85,1,Burra_Group
267517.93627942813,6405409.421299202,467.40482077362407,18,80,1,Burra_Group
267608.7392618103,6405436.491091287,465.90921338723336,34,90,1,Burra_Group
267180.98074289586,6406536.556438986,459.03179215535613,30,47,1,Unnamed_GIS_Unit___see_description
278071.13225833944,6405552.253065856,489.0921609187708,270,70,1,Yudnamutana_Subgroup
278480.9691002085,6406351.020888675,504.01805049720235,280,65,1,Burra_Group
280992.6787900226,6408264.912585827,501.6350438204926,85,55,1,Emeroo_Subgroup
278728.2989965648,6408558.724222045,541.084161369193,295,80,1,Yudnamutana_Subgroup
276763.99636842613,6408716.038142396,594.6324399040649,295,70,1,Wilpena_Group
275057.9585436864,6405793.871579096,544.9638201472287,345,50,1,Wilpena_Group
272362.11359329685,6407138.102100257,501.17219643657626,80,60,1,Umberatana_Group
269287.2731042012,6405593.187612613,461.2831568683889,80,75,1,Burra_Group
266027.76729741273,6405711.396545449,481.88079073097134,65,10,1,Burra_Group
263410.5834092528,6405219.913125835,547.9914011112428,290,70,1,Burra_Group
262100.79058626833,6405886.075074454,535.06331492648,300,60,1,Yudnamutana_Subgroup
262028.85827233063,6409876.2231549565,487.8304550793355,295,70,1,Umberatana_Group
258389.84580636412,6409869.663149406,530.0680075946096,295,60,1,Wilpena_Group
255717.76107104286,6416259.998180019,524.9540996023601,290,35,1,Wilpena_Group
253982.71153694554,6418542.221060676,428.28666932859363,140,55,1,Wilpena_Group
252279.1728640798,6420297.337532923,372.9831064775812,310,25,1,Wilpena_Group
256714.72117037204,6421170.236279732,397.71503365040746,170,45,1,Wilpena_Group
256923.75915494954,6423396.604972154,368.70003609366006,175,30,1,Yerelina_Subgroup
256133.39584738403,6423636.183531363,352.0,220,40,1,Yerelina_Subgroup
254060.24455162094,6423868.489218269,350.3017589373195,275,55,1,Wilpena_Group
255356.09963165756,6426030.123287624,332.7564982863459,310,70,1,Wilpena_Group
251830.05242298575,6431032.478478804,318.1306283250876,95,25,1,Umberatana_Group
252963.93937869472,6431832.421565935,355.47364061607414,115,30,1,Umberatana_Group
254917.66310174027,6430404.033277193,337.9049319204556,15,40,1,Umberatana_Group
257897.14565142777,6428147.655157143,335.91198062220053,300,60,1,Umberatana_Group
257515.7108708609,6430355.251268912,399.4816576346004,320,70,1,ABC_Range_Quartzite
260849.22519838944,6430968.653711754,408.3824501965395,335,50,1,Umberatana_Group
260203.8806699566,6432938.271130884,518.6133249052991,320,70,1,ABC_Range_Quartzite
260301.55195387022,6434909.271468173,472.5196046811654,180,25,1,Wilpena_Group
260574.1866100629,6436583.485617202,461.7611610519335,165,30,1,Wilpena_Group
259323.01367444874,6437669.738000521,425.59052624349033,145,35,1,Wilpena_Group
258317.19397909148,6433515.763862267,411.5254459946941,110,70,1,Wilpena_Group
256689.64248016826,6433663.749518294,418.6913937997377,110,50,1,Wilpena_Group
254961.53208296362,6435348.733476849,415.0550265193814,115,65,1,Umberatana_Group
253098.3916089077,6435545.17640198,386.2074163714258,110,50,1,Umberatana_Group
251338.8943425665,6433391.39288591,368.87774602043635,145,10,1,Umberatana_Group
254158.3501217402,6437240.356668278,378.0012424448635,55,30,1,Unnamed_GIS_Unit___see_description
256455.7197882782,6439018.545668711,386.6892089943437,140,65,1,Umberatana_Group
253413.11276199055,6440143.090202041,328.56563345044583,350,45,1,Unnamed_GIS_Unit___see_description
252621.03879429857,6438901.902404357,335.33109671976786,345,70,1,Unnamed_GIS_Unit___see_description
251265.92339537022,6446183.083320922,337.6488691740098,325,20,1,Umberatana_Group
257827.02718955532,6456477.376815369,420.3628855872504,120,60,1,Umberatana_Group
257386.069143554,6453447.830042197,420.96629999019643,125,45,1,Umberatana_Group
256649.1099401339,6449118.630320843,381.3729395583483,140,10,1,Umberatana_Group
257390.7174545354,6447607.581999272,379.08528810584227,330,30,1,Umberatana_Group
255350.2303581442,6445584.33791386,385.1276535056521,345,20,1,Yudnamutana_Subgroup
253898.38232116727,6442645.705531763,330.7730185314366,95,30,1,Yudnamutana_Subgroup
256818.81617102498,6442187.109525707,359.9946162652818,305,60,1,Umberatana_Group
256623.39017767462,6444784.267281986,408.21140844650375,240,30,1,Unnamed_GIS_Unit___see_description
258951.71832197424,6444999.411028143,410.3610995929731,340,50,1,Yudnamutana_Subgroup
259687.73317156362,6443971.313804871,415.6389800821893,335,55,1,Yudnamutana_Subgroup
259913.39788745245,6448040.888862902,417.8875939553744,310,40,1,Umberatana_Group
262473.68967253494,6447419.729451689,416.9164556639788,330,20,1,Yudnamutana_Subgroup
262803.56027141557,6448541.59447759,411.81983764133497,310,35,1,Umberatana_Group
268432.2918791327,6451117.562415647,453.4714305878273,285,50,1,Burra_Group
270210.7477752373,6450551.637102265,492.89814808923575,95,40,1,Burra_Group
269219.2342627771,6450077.229356483,480.9238628125645,140,20,1,Burra_Group
269363.72914822376,6448032.459877816,454.4900370379693,265,15,1,Burra_Group
268112.2020530889,6446977.098444246,443.46574885138796,45,70,1,Unnamed_GIS_Unit___see_description
262502.5912732042,6443308.313700457,444.2977300384717,150,60,1,Yudnamutana_Subgroup
264430.02930947684,6443042.638288399,447.4662757489987,170,45,1,Umberatana_Group
266936.891109637,6444289.269417455,439.78325064109845,225,50,1,Yudnamutana_Subgroup
269822.47978601867,6444637.39035289,465.4173358573679,290,20,1,Burra_Group
270167.8144041237,6443350.919451591,490.1634182065697,85,40,1,Yudnamutana_Subgroup
270866.5712198659,6442246.272528271,497.703393771391,85,40,1,Umberatana_Group
271035.6663321167,6440818.121917449,483.22938526985047,95,20,1,Umberatana_Group
265269.1595482974,6439162.283070307,510.42071707813176,250,15,1,Yerelina_Subgroup
263566.84236356325,6439188.767715927,525.3435290964719,225,25,1,Wilpena_Group
268053.4776954788,6436223.848000942,501.4556678138033,300,60,1,Umberatana_Group
271191.0869786792,6437292.795848506,504.8473028953907,30,30,1,Emeroo_Subgroup
272180.61072820297,6436851.987006586,507.3290484372161,140,40,1,Emeroo_Subgroup
273155.97906369827,6434911.263451122,531.7403030359583,120,75,1,Umberatana_Group
269698.17682736897,6433514.860973084,501.8715906768474,135,30,1,Yudnamutana_Subgroup
268938.11208356905,6434428.396850747,472.04536912849414,145,40,1,Unnamed_GIS_Unit___see_description
266482.8620063684,6434211.871545219,451.8075144507427,310,50,1,Umberatana_Group
264176.2760705324,6432134.873254069,443.3992540669841,320,35,1,Umberatana_Group
266459.409408348,6431320.074869962,435.3503255485373,290,80,1,Unnamed_GIS_Unit___see_description
264895.574037676,6430903.288568252,433.3203556029248,290,40,1,Umberatana_Group
263894.62095096294,6429602.682633415,395.1492487353598,300,75,1,Umberatana_Group
264604.95656040404,6428046.8227907,404.7820512296537,110,80,1,Yudnamutana_Subgroup
261891.5962843798,6427630.526657289,367.5878374226288,245,20,1,Umberatana_Group
261107.62120846487,6427329.970996147,360.75267720524266,220,10,1,Umberatana_Group
260799.87001820112,6425401.142733949,353.38254591112525,220,30,1,Umberatana_Group
