X,Y,formation,appar_th,thickness,cl,cm,p1x,p1y,p2x,p2y,dip,type,slope_dip,slope_length,delz,zbase,zcross
273361.583401639,6405266.089208195,Yerelina_Subgroup,1071.3765047857414,1060,0.1956545722609592,-0.9806728753021474,278264.94777814974,6406244.3620695,268458.2190251283,6404287.81634689,-999.0,full,0.8117598899990817,1071.484041895325,15.180152483785491,548.4943297980183,563.6744822818038
273361.583401639,6405266.089208195,Yerelina_Subgroup,349.0289821471834,347,0.1956545722609592,-0.9806728753021474,278264.94777814974,6406244.3620695,268458.2190251283,6404287.81634689,-999.0,full,3.4240619315811305,349.65317124152864,20.883241619989803,548.4943297980183,569.3775714180081
273361.583401639,6405266.089208195,Yerelina_Subgroup,349.0289821471834,347,0.1956545722609592,-0.9806728753021474,278264.94777814974,6406244.3620695,268458.2190251283,6404287.81634689,-999.0,full,3.4240619315811305,349.65317124152864,20.883241619989803,548.4943297980183,569.3775714180081
272775.2808093689,6408893.999526234,Yerelina_Subgroup,569.1543112257962,99,-0.0154055268795706,-0.9998813278292392,277774.6874485151,6408816.971891836,267775.87417022267,6408971.027160632,7.96289135632955,full,2.0518628178786353,569.5194715169031,20.391136554448735,499.84165203743635,520.2327885918851
272775.2808093689,6408893.999526234,Yerelina_Subgroup,569.1543112257962,99,-0.0154055268795706,-0.9998813278292392,277774.6874485151,6408816.971891836,267775.87417022267,6408971.027160632,7.96289135632955,full,2.0518628178786353,569.5194715169031,20.391136554448735,499.84165203743635,520.2327885918851
273273.4192087741,6411613.888841394,Yerelina_Subgroup,560.908731635317,101,-0.3928480871128905,-0.9196033821445758,277871.436119497,6409649.648405829,268675.4022980512,6413578.129276959,7.965173147040517,full,2.4965063937658964,561.4416074228639,24.455537631159018,493.67131875811265,518.1268563892717
273273.4192087741,6411613.888841394,Yerelina_Subgroup,560.908731635317,101,-0.3928480871128905,-0.9196033821445758,277871.436119497,6409649.648405829,268675.4022980512,6413578.129276959,7.965173147040517,full,2.4965063937658964,561.4416074228639,24.455537631159018,493.67131875811265,518.1268563892717
275531.9843297976,6416130.874914734,Yerelina_Subgroup,563.7827730527285,104,-0.5000178993074763,-0.8660150693678134,279862.0596766367,6413630.785418197,271201.9089829585,6418630.964411271,7.967754275910366,full,2.719988896688739,564.4186583737118,26.784449394309377,464.9694172300435,491.7538666243529
275531.9843297976,6416130.874914734,Yerelina_Subgroup,563.7827730527285,104,-0.5000178993074763,-0.8660150693678134,279862.0596766367,6413630.785418197,271201.9089829585,6418630.964411271,7.967754275910366,full,2.719988896688739,564.4186583737118,26.784449394309377,464.9694172300435,491.7538666243529
281287.96995928773,6423436.891097431,Yerelina_Subgroup,343.25455565675867,51,-0.7286135660219722,-0.6849250115222433,284712.59501689894,6419793.823267321,277863.3449016765,6427079.958927541,7.970184031657212,full,0.7291458359153777,343.2823527354279,4.368491782283229,470.9202488234254,475.28874060570865
282775.42287782684,6424927.763634585,Yerelina_Subgroup,408.5228710627675,56,-0.4494599486714944,-0.8933004839023752,287241.92529733875,6422680.463891228,278308.92045831494,6427175.063377942,7.970360173479023,full,0.04934726301409857,408.52302258187,0.35184948562761065,458.470036362666,458.8218858482936
283719.9604047053,6425664.47923097,Yerelina_Subgroup,332.0358057006516,45,-0.989510806238197,-0.1444588672869668,284442.2547411402,6420716.925199779,282997.66606827045,6430612.033262162,7.970432590619012,full,0.014610031072022791,332.03581649538575,0.08466685652376782,463.7884682460931,463.7038013895693
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1928.4581338860298,246,-0.6700878296486557,0.7422818201712569,261893.2657818164,6426613.426075978,269316.08398352895,6433314.304372465,7.979931907428721,full,0.6514080131874832,1928.5827759232031,21.92599909831665,412.0274776092447,390.1014785109281
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1928.4581338860298,246,-0.6700878296486557,0.7422818201712569,261893.2657818164,6426613.426075978,269316.08398352895,6433314.304372465,7.979931907428721,full,0.6514080131874832,1928.5827759232031,21.92599909831665,412.0274776092447,390.1014785109281
265604.67488267267,6429963.865224222,Yudnamutana_Subgroup,1089.374451279775,168,-0.6700878296486557,0.7422818201712569,261893.2657818164,6426613.426075978,269316.08398352895,6433314.304372465,7.979931907428721,full,0.8905765971082124,1089.5060610718872,16.934048874025564,412.0274776092447,428.9615264832703
304976.0473450251,6423795.447745559,Yudnamutana_Subgroup,663.573489550903,114,0.7931298296073396,0.6090526031362417,301930.78432934394,6427761.0968935955,308021.3103607063,6419829.798597522,7.95495710686626,full,1.9785921712087096,663.9693500655702,22.92426207609168,349.11123144316485,372.03549351925653
297919.9083761637,6408514.025736798,Yudnamutana_Subgroup,4739.019877036428,816,0.5656176301928381,0.82466762784472,293796.5702369401,6411342.113887762,302043.24651538726,6405685.9375858335,7.950058098341586,full,1.9710847842580757,4741.825556743278,163.09572538033183,382.4254114994743,545.5211368798061
304481.1382773595,6423569.592208501,Yudnamutana_Subgroup,738.5785886911078,120,0.9998524137332864,-0.0171799520290803,304567.0380375049,6428568.8542771675,304395.2385172141,6418570.330139834,7.955076204217249,full,1.4422076973185038,738.812629579528,18.5948905150903,354.0919988827175,372.6868893978078
303497.35377556965,6423475.560249213,Yudnamutana_Subgroup,757.8391538486684,123,0.9990067098672027,0.0445600004522733,303274.5537733083,6428470.593798549,303720.153777831,6418480.526699877,7.955842833215129,full,1.4052121178862547,758.0671326207901,18.59017089326727,364.4301521677135,383.0203230609808
