Fault,HorizontalRadius,VerticalRadius,InfluenceDistance,incLength,colour
Fault_334,5361.826751055534,5361.826751055534,2680.913375527767,8655.1532650587,#442082
Fault_546,4151.529915916981,4151.529915916981,2075.7649579584904,6945.041719393489,#3cfde6
Fault_331,7511.36580375519,7511.36580375519,3755.682901877595,12092.90741250613,#f1c26b
Fault_338,4907.646838061598,4907.646838061598,2453.823419030799,7869.389142985055,#30f90e
Fault_341,3441.6355727794153,3441.6355727794153,1720.8177863897076,5953.3563198350985,#c7dd01
Fault_343,3420.1690747451953,3420.1690747451953,1710.0845373725977,5474.742941521712,#e48875
Fault_344,3534.0744046748937,3534.0744046748937,1767.0372023374468,5654.539136389007,#34a20f
