X,Y,Z,formation
306258.50333319895,6415258.285902604,298.8929731384833,Umberatana_Group
305987.50012748165,6414151.978510337,291.64594751308334,Umberatana_Group
306071.88560596295,6413381.088986376,286.320737956249,Umberatana_Group
306401.46978463535,6413292.581792744,286.0,Umberatana_Group
307376.7906630577,6413038.98089445,287.90033145783036,Umberatana_Group
307823.83632077696,6412582.227664938,292.94040280595055,Umberatana_Group
308286.34249551245,6412291.752437874,292.54155955061645,Umberatana_Group
304022.28610992624,6407483.039961163,345.9951931350003,Umberatana_Group
303745.99554604647,6408377.346890675,332.36122956095437,Umberatana_Group
302828.4591978316,6408939.662443716,330.3723658060055,Umberatana_Group
302349.61174056097,6409820.638389493,330.82879068990604,Umberatana_Group
301701.21967152366,6410666.085973674,335.28281769210275,Umberatana_Group
301573.8364440851,6410751.029497453,337.32561518267653,Umberatana_Group
302226.70147044887,6411240.527275868,331.5479502976437,Umberatana_Group
304565.83296796156,6413437.779167352,308.01074526672426,Umberatana_Group
308426.2107710587,6412269.058398448,293.48695315263825,Umberatana_Group
307602.5870357249,6411638.460407501,301.27079518689004,Umberatana_Group
304724.0154532265,6407885.393530477,345.56955237356544,Umberatana_Group
273397.84666623676,6405084.328058686,557.0663481636791,Yerelina_Subgroup
272770.08259358304,6408556.614187653,502.6609412394432,Yerelina_Subgroup
273150.7569327345,6411326.753310873,493.10541430136163,Yerelina_Subgroup
273396.0814848137,6411901.024371916,495.5363693377615,Yerelina_Subgroup
275193.18012956163,6415544.076835354,478.8153407393169,Yerelina_Subgroup
281179.6280151523,6423335.045467874,473.7737863442916,Yerelina_Subgroup
282228.32782144065,6424402.315188142,459.6801408901053,Yerelina_Subgroup
282474.8583766204,6424714.398850659,459.6025998367644,Yerelina_Subgroup
282968.34836850205,6425209.540298113,459.41839528950004,Yerelina_Subgroup
283166.0250216494,6425412.100492267,460.6731471387393,Yerelina_Subgroup
284103.8427546564,6425677.781814123,465.63041599850055,Yerelina_Subgroup
286716.6162593089,6417466.867203571,464.1350401119082,Umberatana_Group
285737.1777419257,6418174.432095097,480.1819806011963,Umberatana_Group
284230.637149106,6415647.553863501,485.63327473083893,Umberatana_Group
283896.1063720621,6414018.544372352,465.82513786569416,Umberatana_Group
282791.1055863465,6413852.888388701,502.39388176099544,Umberatana_Group
281654.52809884737,6413027.739165805,518.601421435847,Umberatana_Group
280458.5285340613,6411918.050837845,563.1683643598162,Umberatana_Group
277805.5645597654,6406318.418028193,492.3207090359965,Umberatana_Group
277715.17553422006,6405095.445333475,502.753319809894,Umberatana_Group
326935.213946178,6432196.299466667,224.4825901521851,Burra_Group
325974.2159393325,6430331.610517525,227.82809896951193,Burra_Group
325160.5730643064,6429373.726342764,229.98651104935013,Burra_Group
324121.8869754011,6428669.567869581,232.3452941525627,Burra_Group
322342.05056103965,6428449.1817626115,234.0682638059326,Burra_Group
265463.410780211,6430964.250968022,424.7380962775037,Yudnamutana_Subgroup
265462.1248099562,6430432.377267532,412.71027854249826,Yudnamutana_Subgroup
265659.1616519678,6429903.508153853,412.7328253361622,Yudnamutana_Subgroup
265844.03831417114,6429895.4292418305,415.2207821380739,Yudnamutana_Subgroup
305660.4305120403,6424266.505327644,340.3846281386348,Yudnamutana_Subgroup
305274.5589293073,6424024.677880004,347.3518445668351,Yudnamutana_Subgroup
298201.5703022052,6409420.47360086,391.70280695282895,Yudnamutana_Subgroup
298083.6257431471,6408752.724825121,381.85265087191766,Yudnamutana_Subgroup
297756.1910091803,6408275.326648473,382.70169519054,Yudnamutana_Subgroup
296746.417921382,6407237.700934437,392.2574881671854,Yudnamutana_Subgroup
304677.53576074285,6423566.217611114,348.91659188043053,Yudnamutana_Subgroup
303586.42031728517,6423479.533000447,362.517615956063,Yudnamutana_Subgroup
302861.0253918341,6423452.694584418,413.1145872521219,Yudnamutana_Subgroup
302284.18679106,6423290.020089919,436.65053714671205,Yudnamutana_Subgroup
300960.5452279352,6422591.390856705,463.2997325165413,Yudnamutana_Subgroup
299594.04420470505,6421416.171708233,471.6398255418278,Yudnamutana_Subgroup
298723.12516114814,6420353.120538965,432.10747667021565,Yudnamutana_Subgroup
297860.68607652653,6418088.548287304,478.9873207043539,Yudnamutana_Subgroup
296632.6585530243,6413862.445015952,579.8288229214213,Yudnamutana_Subgroup
295313.124911099,6410116.2820637515,569.323467117711,Yudnamutana_Subgroup
294978.93431238574,6407695.715312919,514.416192613034,Yudnamutana_Subgroup
267048.9567317147,6431626.625431681,467.014797694611,Yudnamutana_Subgroup
273159.5443801846,6435529.539555543,521.3086208708467,Yudnamutana_Subgroup
273960.2257630576,6435839.914255258,536.9044385222121,Yudnamutana_Subgroup
276839.7263153797,6442522.110617839,496.5991287287063,Yudnamutana_Subgroup
267048.9567317147,6431626.625431681,467.014797694611,Emeroo_Subgroup
267579.0428989524,6433089.591795049,470.23505596187385,Emeroo_Subgroup
268743.6864051869,6434131.961071532,470.39083028526875,Emeroo_Subgroup
269269.9022688554,6434746.758381387,481.4335762396821,Emeroo_Subgroup
268756.8744852416,6435290.251906972,480.4365778075271,Emeroo_Subgroup
275728.2719305382,6446513.164325608,480.71117138119746,Yudnamutana_Subgroup
275367.6062557788,6442209.9866504315,499.39328364408243,Yudnamutana_Subgroup
275005.03848533705,6441468.23582641,505.0441170729078,Yudnamutana_Subgroup
304821.4215558497,6415997.890057113,310.8498349863356,Yudnamutana_Subgroup
305388.5332163232,6415763.557985865,308.96033890768626,Yudnamutana_Subgroup
306019.4436622064,6415527.622990541,301.7647138002341,Yudnamutana_Subgroup
306223.5791085263,6415304.452622507,299.4466543905349,Yudnamutana_Subgroup
301573.8364440851,6410751.029497453,337.32561518267653,Yudnamutana_Subgroup
301184.60674796393,6411010.580934666,348.2603591370814,Yudnamutana_Subgroup
300808.39455362974,6411452.46947781,360.6046926756905,Yudnamutana_Subgroup
300791.54610824096,6411532.723008437,361.5979404465104,Yudnamutana_Subgroup
301472.45089212176,6412091.279708889,346.55438566157875,Yudnamutana_Subgroup
304717.39813569793,6415853.596110333,310.0,Yudnamutana_Subgroup
261472.09157653872,6415308.364108222,439.0871627113729,Yerelina_Subgroup
261050.27924622167,6413137.978115082,461.4178352878991,Yerelina_Subgroup
260616.27180175198,6411999.166226523,483.56085151245804,Yerelina_Subgroup
258466.26938396005,6407985.319030818,467.8199059851967,Yerelina_Subgroup
256437.29118531628,6405346.056848088,436.2560603424063,Yerelina_Subgroup
281773.5383450305,6408893.5642069345,465.8491827962695,Emeroo_Subgroup
281573.738122961,6407784.994125348,470.0859481655946,Emeroo_Subgroup
281068.44224851154,6406322.075201265,472.4687671576669,Emeroo_Subgroup
279467.03627912677,6407680.464200572,549.9862524592392,Emeroo_Subgroup
280208.17578611977,6408832.032582769,556.3906292967064,Emeroo_Subgroup
281413.0908811636,6409057.762528145,487.65302077433574,Emeroo_Subgroup
281637.3776070571,6408900.747130586,471.2623332849733,Emeroo_Subgroup
283896.1063720621,6414018.544372352,465.82513786569416,Yudnamutana_Subgroup
283647.5979450508,6412808.424091056,466.45252407727776,Yudnamutana_Subgroup
