index,group number,index in group,number in group,code,group
0,1,1,5,Weeli_Wolli_Formation,Hamersley_Group
1,1,2,5,Brockman_Iron_Formation,Hamersley_Group
2,1,3,5,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
3,1,4,5,Wittenoom_Formation,Hamersley_Group
4,1,5,5,Marra_Mamba_Iron_Formation,Hamersley_Group
5,2,1,3,Jeerinah_Formation,Fortescue_Group
6,2,2,3,Bunjinah_Formation,Fortescue_Group
7,2,3,3,Fortescue_Group,Fortescue_Group
