WKT	objectid	feature
LINESTRING (508555.7245734783 7486286.997082645, 507962.93946786 7487395.77051126, 507698.85202143 7488020.77955323, 507535.08999106 7488352.76844145, 507346.57968717 7488824.77977649, 507038.6210941 7489590.28111874, 506862.31020291 7489960.2683438, 506693.31992489 7490533.76938934, 506417.25780508 7491318.28142618, 506134.78947897 7492096.27828694, 506019.22999676 7492550.77985109, 506009.95999126 7492587.27064645, 505306.71858811 7493964.26884435, 505159.38894207 7494252.77716993, 504928.67019884 7494580.76953129, 504894.1120782 7494629.76913794, 504507.2766991516 7495469.90680081)	7344	Fault or shear zone, major
LINESTRING (505210.2582550625 7486286.997082645, 504946.39377437 7486934.72759066, 504809.32775093 7487533.73297868, 504811.40947671 7487960.22782456, 504780.08616297 7488068.23625734, 504991.99777457 7488493.74014118)	7967	Fault or shear zone, major
LINESTRING (499497.8827818414 7490848.620475542, 501046.93818903 7489361.70017556, 501444.34138543 7488982.69962776, 502021.73814513 7488408.2116702, 502590.86900248 7487736.7019943, 502957.37167387 7487244.71029663, 503261.26194803 7486956.70812858, 503360.04894137 7486870.20924174, 503552.33970429 7486655.70940224, 503960.8639612486 7486286.997082645)	5997	Fault or shear zone
LINESTRING (506573.8072893639 7486286.997082645, 506356.60067244 7486602.24845382, 506110.05077229 7486915.74050715, 505958.53964278 7487139.22942579, 505880.64999487 7487247.25030828, 505446.80992926 7487848.25201484, 505191.69053105 7488202.74096686, 504991.99777457 7488493.74014118, 504662.7901518 7488807.24012086, 504410.59929229 7489048.73999597, 504386.09658106 7489075.18218316, 504112.21031119 7489370.73858194, 503751.93059466 7489830.72821949, 503311.33127991 7490794.23871238, 502974.5984068 7492183.72898132, 502625.14676018 7493151.24504545, 502193.81185251 7493869.74027802, 501546.79878613 7494516.72860953, 501474.89798491 7494612.73866944, 500279.2087871885 7495469.90680081)	6205	Fault or shear zone, major
LINESTRING (507962.93946786 7487395.77051126, 508068.69956995 7486904.77848414, 508142.1930265285 7486286.997082645)	6522	Fault or shear zone
