X,Y,Z,angle,lsx,lsy,formation,group
509057.8012009365,7489439.492822001,494.5054173944807,50.48783561506169,0.7714895211417743,0.63624202845178,Jeerinah_Formation,Fortescue_Group
507561.3149599759,7488378.578111337,461.8631007432006,45.4572795529442,0.7127276442609973,0.7014408778408693,Jeerinah_Formation,Fortescue_Group
502743.84516227,7491806.229297016,591.4689832946414,18.13763381209976,0.3113006935528386,0.9503114637809656,Brockman_Iron_Formation,Hamersley_Group
502162.100737675,7489842.45884371,672.1615214026409,44.2854173052432,0.6982331075333351,0.7158704684119483,Brockman_Iron_Formation,Hamersley_Group
506509.35936282505,7494928.79135164,612.8815192003977,56.284403300748004,0.831803055023613,0.5550708762431914,Brockman_Iron_Formation,Hamersley_Group
500658.15962991,7488358.684966225,775.1864497185254,44.54261770772565,0.7014395998195911,0.7127289020412543,Brockman_Iron_Formation,Hamersley_Group
499564.67549281067,7486734.738505321,638.3471340074639,23.32148800336849,0.39588992556991853,0.9182979727911003,Brockman_Iron_Formation,Hamersley_Group
505803.888066685,7490714.016187165,632.1294647821126,3.364026961094159,0.058679619077668894,0.9982768665580204,Brockman_Iron_Formation,Hamersley_Group
505547.34578432003,7489592.0047320705,626.4373632485865,43.83625052848364,0.6925996865646856,0.7213221708574467,Brockman_Iron_Formation,Hamersley_Group
504727.174590555,7488972.48475066,625.0721546456765,35.90537912352296,0.586448403628095,0.8099865862358827,Brockman_Iron_Formation,Hamersley_Group
502813.34973793,7489711.718942375,583.4936540647756,31.719237997001457,0.5257572952203803,0.8506346257486525,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
501964.42959267,7489060.708169466,569.2713613184545,65.28166823723659,0.9083744346174283,0.41815772925233335,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
506423.709912525,7494366.04075543,577.4198653824056,63.433040094485584,0.8944122922106721,0.44724339183765627,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
508185.89483465,7494586.06526143,607.9205847946332,63.43917832876633,0.8944602013351006,0.4471475687371803,Wittenoom_Formation,Hamersley_Group
506289.125597575,7492872.77987211,619.4254021982505,34.95897772743983,0.572989798049541,0.8195624999541807,Wittenoom_Formation,Hamersley_Group
501533.685583595,7488079.694520565,604.3003345000491,44.300359423650406,0.6984197750480376,0.7156883524424918,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
500590.37424772,7486974.18577416,558.3095090907092,32.08257621313232,0.5311409430997355,0.8472834818188796,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
503508.19960813504,7494723.25457163,553.5038267284924,78.21011406633129,0.9789034719220494,0.20432325530628548,Weeli_Wolli_Formation,Hamersley_Group
499749.564758515,7492431.95659994,544.2732316988129,164.05198200319288,-0.2747651309901585,0.9615113742395152,Weeli_Wolli_Formation,Hamersley_Group
502144.842486215,7487554.45419062,511.5450907487958,76.20377492552959,0.9711499935499778,0.23846947399589338,Wittenoom_Formation,Hamersley_Group
501279.098366925,7486706.191822195,547.2028820719,26.045712960232933,0.4390881025302368,0.8984440095055429,Wittenoom_Formation,Hamersley_Group
502148.8435395252,7486300.097620748,551.2785612250665,34.97608590042072,0.5732344889045919,0.8193913721356182,Marra_Mamba_Iron_Formation,Hamersley_Group
506308.45064574,7489842.264887515,534.1548051845994,34.54691506677604,0.5670808599407272,0.8236621262926233,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
505251.21514274,7488839.239891025,549.8286508881284,47.84476720373102,0.7413292089836692,0.6711415677095611,Mount_McRae_Shale_and_Mount_Sylvia_Formation,Hamersley_Group
507708.98317064,7493472.053611685,700.0820561961157,54.01859641522825,0.8092077284391258,0.5875226397632608,Marra_Mamba_Iron_Formation,Hamersley_Group
506788.74451105855,7489361.923625865,524.6136002570574,47.57639926956354,0.7381775257855501,0.6746065078437383,Wittenoom_Formation,Hamersley_Group
505689.09024289495,7487980.7451937795,525.85064464659,63.78147086193359,0.8971155422075318,0.44179599809152414,Wittenoom_Formation,Hamersley_Group
503365.35600305,7489450.72519809,581.7800375235418,51.108670519532026,0.7783381687075249,0.6278452796135496,Wittenoom_Formation,Hamersley_Group
504038.85457307,7489323.23428681,618.7262381765565,44.999843212931296,0.7071048462211431,0.7071087161466569,Marra_Mamba_Iron_Formation,Hamersley_Group
503188.66429134,7488404.96972814,585.6425268718348,25.29545135281596,0.427286087948647,0.9041164742695164,Marra_Mamba_Iron_Formation,Hamersley_Group
507014.01943212,7488438.270622855,602.3972456056708,39.2742796549011,0.6330334283088078,0.7741244594014568,Marra_Mamba_Iron_Formation,Hamersley_Group
505970.31758740207,7487170.346069733,554.2264717226243,20.732129248616577,0.3539993488695926,0.9352456687950521,Marra_Mamba_Iron_Formation,Hamersley_Group
