WKT	geopnt_id	dip	azimuth2
POINT (507061.53547394 7487485.07593403)	4407	15	305.0
POINT (506878.77429541 7487552.68275112)	8848	12	290.0
POINT (506624.18651084 7487760.90283353)	10858	12	290.0
POINT (507782.98402641 7486540.48794767)	14391	15	320.0
POINT (507733.46524728 7487799.25625798)	18817	15	137.0
POINT (506740.65427719 7487407.7014783)	25504	12	290.0
