X, Y, l, m, n, dip, dip_dir
499997.8827818414, 7486786.997082645, -0.1932393171972617, 0.07033335954972841, 0.9786275005453222, 11.867024333394141, 290.0
499997.8827818414, 7487286.997082645, -0.19324025550568094, 0.07033370106606356, 0.9786272907222897, 11.867082794235273, 290.0
499997.8827818414, 7487786.997082645, -0.1932411825785871, 0.0703340384930064, 0.9786270834106796, 11.867140555065717, 290.0
499997.8827818414, 7488286.997082645, -0.1932420984179248, 0.07033437183126469, 0.9786268786100956, 11.86719761600601, 290.0
499997.8827818414, 7488786.997082645, -0.19324300302566783, 0.07033470108155684, 0.9786266763201326, 11.867253977178919, 290.0
499997.8827818414, 7489286.997082645, -0.19324389640381964, 0.07033502624461205, 0.9786264765403803, 11.867309638708605, 290.0
499997.8827818414, 7489786.997082645, -0.19324477855441288, 0.07033534732117011, 0.9786262792704201, 11.867364600721388, 290.0
499997.8827818414, 7490286.997082645, -0.19324564947950953, 0.07033566431198159, 0.9786260845098269, 11.867418863345321, 290.0
499997.8827818414, 7490786.997082645, -0.193246509181201, 0.07033597721780763, 0.9786258922581683, 11.867472426710293, 290.0
499997.8827818414, 7491286.997082645, -0.1932473576616081, 0.07033628603942019, 0.9786257025150052, 11.867525290947981, 290.0
499997.8827818414, 7491786.997082645, -0.1932481949228808, 0.07033659077760172, 0.9786255152798912, 11.86757745619201, 290.0
499997.8827818414, 7492286.997082645, -0.19324902096719845, 0.07033689143314555, 0.9786253305523729, 11.867628922577708, 290.0
499997.8827818414, 7492786.997082645, -0.19324983579676983, 0.07033718800685551, 0.9786251483319902, 11.86767969024227, 290.0
499997.8827818414, 7493286.997082645, -0.19325063941383278, 0.0703374804995462, 0.9786249686182755, 11.867729759324803, 290.0
499997.8827818414, 7493786.997082645, -0.1932514318206546, 0.07033776891204274, 0.9786247914107546, 11.867779129966124, 290.0
499997.8827818414, 7494286.997082645, -0.19325221301953177, 0.0703380532451811, 0.9786246167089462, 11.867827802308966, 290.0
499997.8827818414, 7494786.997082645, -0.19325298301279004, 0.0703383334998077, 0.9786244445123615, 11.867875776497897, 290.0
499997.8827818414, 7495286.997082645, -0.19325374180278437, 0.07033860967677967, 0.9786242748205056, 11.867923052679188, 290.0
500497.8827818414, 7486786.997082645, -0.19323952377587472, 0.07033343473819458, 0.9786274543506334, 11.867037204171226, 290.0
500497.8827818414, 7487286.997082645, -0.19324046206427753, 0.07033377624724435, 0.9786272445318427, 11.867095663768012, 290.0
500497.8827818414, 7487786.997082645, -0.19324138911708466, 0.07033411366687174, 0.9786270372244961, 11.867153423348839, 290.0
500497.8827818414, 7488286.997082645, -0.1932423049362407, 0.07033444699778452, 0.9786268324281963, 11.867210483034484, 290.0
500497.8827818414, 7488786.997082645, -0.1932432095237195, 0.0703347762407011, 0.9786266301425391, 11.867266842947473, 290.0
500497.8827818414, 7489286.997082645, -0.19324410288152458, 0.07033510139635069, 0.978626430367114, 11.867322503212065, 290.0
500497.8827818414, 7489786.997082645, -0.1932449850116884, 0.07033542246547306, 0.9786262331015021, 11.867377463954654, 290.0
500497.8827818414, 7490286.997082645, -0.1932458559162732, 0.0703357394488188, 0.9786260383452787, 11.86743172530312, 290.0
500497.8827818414, 7490786.997082645, -0.1932467155973701, 0.07033605234714906, 0.9786258460980111, 11.867485287387524, 290.0
500497.8827818414, 7491286.997082645, -0.19324756405710017, 0.07033636116123577, 0.9786256563592604, 11.867538150339442, 290.0
500497.8827818414, 7491786.997082645, -0.1932484012976133, 0.07033666589186148, 0.97862546912858, 11.867590314292485, 290.0
500497.8827818414, 7492286.997082645, -0.19324922732108882, 0.07033696653981937, 0.9786252844055168, 11.867641779382012, 290.0
500497.8827818414, 7492786.997082645, -0.19325004212973548, 0.07033726310591337, 0.9786251021896102, 11.8676925457453, 290.0
500497.8827818414, 7493286.997082645, -0.19325084572579126, 0.07033755559095804, 0.9786249224803931, 11.867742613521315, 290.0
