X, Y, l, m, angle
251305.1529856466, 6405584.328058686, -0.11889956495192297, -0.9929062863403794, -173.1714023879956
251305.1529856466, 6406084.328058686, 0.10819750781757984, -0.9941294177832506, 173.78857980015252
251305.1529856466, 6406584.328058686, 0.3711473198831017, -0.9285739964825586, 158.21360711897904
251305.1529856466, 6407084.328058686, 0.6124206518245086, -0.7905320646367509, 142.23526159155006
251305.1529856466, 6407584.328058686, 0.7628502477697742, -0.6465752079051548, 130.28388214016158
251305.1529856466, 6408084.328058686, 0.8141657410938241, -0.5806325395886318, 125.49504441067292
251305.1529856466, 6408584.328058686, 0.7915157635399823, -0.6111487511790553, 127.67261158150357
251305.1529856466, 6409084.328058686, 0.7080355518183443, -0.7061767890275724, 134.92469362724015
251305.1529856466, 6409584.328058686, 0.5704077445590293, -0.8213616773060947, 145.2213360828293
251305.1529856466, 6410084.328058686, 0.39240344601552885, -0.919793202603247, 156.89586827028307
251305.1529856466, 6410584.328058686, 0.20007866707218355, -0.9797798359747042, 168.4584406946416
251305.1529856466, 6411084.328058686, 0.025935916946677604, -0.9996636075261193, 178.51381477024063
251305.1529856466, 6411584.328058686, -0.10709560104482307, -0.9942487275510329, -173.85208341608285
251305.1529856466, 6412084.328058686, -0.19576797918255995, -0.9806502426078203, -168.71040971666622
251305.1529856466, 6412584.328058686, -0.25274856022171105, -0.9675319970449826, -165.35978237145247
251305.1529856466, 6413084.328058686, -0.29424364712473594, -0.955730441142655, -162.88781130700872
251305.1529856466, 6413584.328058686, -0.32877502273875536, -0.9444082721064715, -160.80555877930226
251305.1529856466, 6414084.328058686, -0.35765112314697195, -0.9338552747142939, -159.0439866553091
251305.1529856466, 6414584.328058686, -0.3809575083353445, -0.9245925463916125, -157.60699445780796
251305.1529856466, 6415084.328058686, -0.39938733185937414, -0.9167822855783428, -156.4601167781191
251305.1529856466, 6415584.328058686, -0.4138087728849441, -0.9103638280838364, -155.55567838518854
251305.1529856466, 6416084.328058686, -0.4248853473441881, -0.9052471715571435, -154.8565935099597
251305.1529856466, 6416584.328058686, -0.4329161553222655, -0.9014341919746489, -154.3472304512203
251305.1529856466, 6417084.328058686, -0.4379136989575857, -0.8990170144470487, -154.0291574905712
251305.1529856466, 6417584.328058686, -0.43976337099477536, -0.8981136773990871, -153.91121574679792
251305.1529856466, 6418084.328058686, -0.4383475683602588, -0.8988055458844522, -154.00150305381095
251305.1529856466, 6418584.328058686, -0.4336999247355024, -0.9010573651463151, -154.29740311474012
251305.1529856466, 6419084.328058686, -0.4262999202489969, -0.9045818802052685, -154.76702809970652
251305.1529856466, 6419584.328058686, -0.417638647901002, -0.9086132069144839, -155.3144050254968
251305.1529856466, 6420084.328058686, -0.41126477310226056, -0.9115159276749618, -155.71568933589342
251305.1529856466, 6420584.328058686, -0.41441237700941985, -0.9100892163856259, -155.51768348313175
251305.1529856466, 6421084.328058686, -0.4394329255740446, -0.8982754053860299, -153.9322948414497
251305.1529856466, 6421584.328058686, -0.5020541399700036, -0.8648361928937641, -149.86400588495133
251305.1529856466, 6422084.328058686, -0.611418964579816, -0.7913070514990661, -142.30782579009104
251305.1529856466, 6422584.328058686, -0.7520308408286862, -0.6591279196351034, -131.2333968560471
