WKT	FIELD_STRU	INCLINATIO	AZIMUTH_TR
POINT (259323.0136744487 6437669.738000521)	75026	35	145
POINT (258317.1939790915 6433515.763862267)	75027	70	110
POINT (256689.6424801683 6433663.749518294)	75028	50	110
POINT (254961.5320829636 6435348.733476849)	75029	65	115
POINT (253098.3916089077 6435545.17640198)	75031	50	110
POINT (251338.8943425665 6433391.39288591)	75032	10	145
POINT (254158.3501217402 6437240.356668278)	75039	30	55
POINT (256455.7197882782 6439018.545668711)	75040	65	140
POINT (255129.3152508275 6438934.68620046)	75041	0	275
POINT (253413.1127619905 6440143.090202041)	75042	45	350
POINT (252621.0387942986 6438901.902404357)	75043	70	345
POINT (251265.9233953702 6446183.083320922)	75049	20	325
POINT (257827.0271895553 6456477.376815369)	75069	60	120
POINT (257386.069143554 6453447.830042197)	75070	45	125
POINT (256649.1099401339 6449118.630320843)	75071	10	140
POINT (257390.7174545354 6447607.581999272)	75072	30	330
POINT (255350.2303581442 6445584.33791386)	75073	20	345
POINT (253898.3823211673 6442645.705531763)	75074	30	95
POINT (255312.6871853294 6442813.135008648)	75075	0	325
POINT (256818.816171025 6442187.109525707)	75076	60	305
POINT (256623.3901776746 6444784.267281986)	75077	30	240
POINT (258951.7183219742 6444999.411028143)	75078	50	340
POINT (259687.7331715636 6443971.313804871)	75079	55	335
POINT (259913.3978874524 6448040.888862902)	75080	40	310
POINT (262473.6896725349 6447419.729451689)	75081	20	330
POINT (262803.5602714156 6448541.59447759)	75082	35	310
POINT (268432.2918791327 6451117.562415647)	75083	50	285
POINT (270210.7477752373 6450551.637102265)	75085	40	95
POINT (269219.2342627771 6450077.229356483)	75086	20	140
POINT (269363.7291482238 6448032.459877816)	75087	15	265
POINT (268112.2020530889 6446977.098444246)	75088	70	45
POINT (262502.5912732042 6443308.313700457)	75089	60	150
POINT (264430.0293094768 6443042.638288399)	75090	45	170
POINT (266936.891109637 6444289.269417455)	75091	50	225
POINT (269822.4797860187 6444637.39035289)	75092	20	290
POINT (270167.8144041237 6443350.919451591)	75093	40	85
POINT (270866.5712198659 6442246.272528271)	75094	40	85
POINT (271035.6663321167 6440818.121917449)	75095	20	95
POINT (265269.1595482974 6439162.283070307)	75096	15	250
POINT (263566.8423635632 6439188.767715927)	75097	25	225
POINT (268053.4776954788 6436223.848000942)	75098	60	300
POINT (271191.0869786792 6437292.795848506)	75099	30	30
POINT (272180.610728203 6436851.987006586)	75100	40	140
POINT (273155.9790636983 6434911.263451122)	75101	75	120
POINT (269698.176827369 6433514.860973084)	75102	30	135
POINT (268938.1120835691 6434428.396850747)	75103	40	145
POINT (266482.8620063684 6434211.871545219)	75104	50	310
POINT (264176.2760705324 6432134.873254069)	75105	35	320
POINT (266459.409408348 6431320.074869962)	75106	80	290
POINT (264895.574037676 6430903.288568252)	75107	40	290
POINT (263894.6209509629 6429602.682633415)	75108	75	300
POINT (264604.956560404 6428046.8227907)	75109	80	110
POINT (261891.5962843798 6427630.526657289)	75112	20	245
POINT (261107.6212084649 6427329.970996147)	75114	10	220
POINT (260641.2688554775 6426473.443343392)	75115	0	225
POINT (260799.8700182011 6425401.142733949)	75116	30	220
POINT (261304.8272716333 6423487.33241318)	75117	45	255
POINT (264674.2857217963 6423192.346653432)	75118	75	95
POINT (266540.9816458968 6424330.479401096)	75119	35	120
POINT (265313.123438261 6422874.923472333)	75120	45	105
POINT (266545.0750172054 6422341.426842082)	75121	10	60
POINT (262515.5925711683 6419871.335059714)	75122	85	265
POINT (264788.8285360971 6418821.323169095)	75123	70	40
POINT (269755.0554577479 6417755.208851147)	75124	35	10
POINT (267500.5862070713 6417197.584851077)	75125	50	40
POINT (264903.7350878093 6414958.679876264)	75126	80	250
POINT (262929.2611560621 6415446.265293862)	75127	0	255
POINT (262589.7116106609 6413523.582698426)	75128	45	275
POINT (263883.3936220574 6410416.864263223)	75129	45	295
POINT (265831.0580441295 6409509.580759244)	75130	70	280
POINT (266817.3509416241 6409894.911368523)	75131	45	170
POINT (270030.7664381207 6408276.440400077)	75133	45	80
POINT (270892.7870248731 6408965.522026451)	75134	50	95
POINT (269974.5497894298 6410373.022403594)	75135	50	110
POINT (269186.2922361997 6410434.601322606)	75136	15	100
POINT (267934.1646398711 6411603.496235477)	75137	80	140
POINT (269527.3914494271 6411683.760294447)	75138	25	140
POINT (272554.7530874888 6410768.848611621)	75139	65	105
POINT (273791.2556145951 6413114.135084505)	75140	50	110
POINT (275526.2421985294 6415737.950724905)	75141	85	120
POINT (273317.8094698271 6416680.641544447)	75142	50	110
POINT (272291.5241632956 6420266.719204672)	75143	50	300
POINT (279927.0994336759 6417944.943229578)	75144	60	125
POINT (286410.5259420703 6419119.029893711)	75145	55	95
POINT (286046.7323016428 6419274.052904341)	75146	45	320
POINT (283191.699707195 6418475.048801545)	75147	70	320
POINT (282912.8360713345 6418974.145852212)	75148	65	310
POINT (281952.6541664316 6419072.111980831)	75149	10	305
POINT (280678.9915625473 6419370.072163082)	75150	80	120
POINT (278946.7577393889 6420324.143553525)	75151	60	130
POINT (284259.7075289892 6424923.905441977)	75152	65	125
POINT (281027.0422789208 6423288.384374424)	75153	80	130
POINT (277116.0054369685 6422096.964715648)	75154	40	120
POINT (276990.831700367 6423569.961031042)	75155	45	300
POINT (275723.1536037588 6424446.275563417)	75156	55	300
POINT (276339.7762828023 6426575.311088176)	75157	60	315
POINT (274772.6782168595 6426978.272032069)	75158	65	325
POINT (270456.7688599839 6430008.63215402)	75159	80	130
POINT (276567.3870776379 6430473.315881019)	75160	25	315
POINT (279227.2389579642 6434390.644324017)	75164	25	300
POINT (288769.2054488935 6436874.233508518)	75167	40	230
POINT (287153.8649644958 6436514.078331076)	75168	75	275
POINT (285802.051537814 6438616.066857548)	75169	55	295
POINT (276053.614193412 6440762.984259137)	75172	80	310
POINT (274527.9466669591 6440886.744989341)	75173	40	280
POINT (273331.3726083559 6442189.522559907)	75174	30	280
POINT (278906.234802637 6443938.773566024)	75175	75	275
POINT (281343.9468870723 6444034.343835585)	75176	35	125
POINT (280462.7346193904 6447164.374178754)	75179	45	120
POINT (281430.5562395145 6449125.575697796)	75182	35	120
POINT (277612.9124592861 6445374.052140916)	75183	70	95
POINT (273786.735012563 6445626.008916687)	75184	15	265
POINT (277579.1627012551 6447724.983948456)	75185	0	310
POINT (274252.4876534166 6448706.764486266)	75187	15	275
POINT (274376.6667507209 6450042.579281271)	75188	25	330
POINT (273559.1012456575 6452614.12459763)	75189	10	255
POINT (274702.2145372364 6453166.30949362)	75190	20	260
POINT (275358.3852518989 6454081.947268927)	75191	60	255
POINT (276516.8467408296 6454945.758657681)	75192	8	115
POINT (277526.9060228188 6456017.743977506)	75193	3	170
POINT (278786.536535572 6456920.632237874)	75194	90	0
POINT (279955.1767311912 6455827.227854298)	75195	25	90
POINT (276947.2383805627 6452351.141303593)	75196	25	135
POINT (278300.2893928638 6451780.71994615)	75197	15	140
POINT (279317.4407970496 6451155.933408737)	75198	65	100
POINT (279343.309570656 6452744.984508133)	75199	45	105
POINT (281895.7507304946 6453896.722404829)	75200	25	100
POINT (283128.323174693 6453852.459962104)	75203	20	120
POINT (284773.1160659821 6456583.374165501)	75204	90	0
POINT (285451.2884014632 6453978.590029422)	75205	90	0
POINT (288148.7856807099 6456301.25270731)	75206	25	270
POINT (291244.2058811917 6456638.80784624)	75209	0	285
POINT (303091.9911765154 6457450.032603115)	75210	30	90
POINT (298239.9684959691 6456896.856623148)	75212	80	100
POINT (296056.6982442745 6455679.136778163)	75213	90	100
POINT (294380.6382110054 6455083.2251519)	75214	45	75
POINT (294642.7859772905 6453300.203450883)	75215	50	255
POINT (292880.0466650008 6453059.218483817)	75216	60	285
POINT (288675.2940077485 6454177.810343403)	75217	40	285
POINT (287560.6920825032 6451185.635711232)	75218	30	275
POINT (285905.3667672256 6445003.841002909)	75219	55	285
POINT (289145.0064379735 6444948.983305662)	75222	70	290
POINT (293854.4043349237 6449015.037124816)	75223	45	275
POINT (291558.47620562 6444942.633937301)	75224	65	270
POINT (291872.1602500739 6441457.073085783)	75225	25	250
POINT (292610.5314192717 6440225.6966908)	75226	50	165
POINT (295770.5468599095 6441555.436646698)	75227	70	150
POINT (296633.9335907194 6443216.767995371)	75228	45	155
POINT (300411.8432094461 6445474.503133016)	75229	20	40
POINT (301295.0174673661 6447078.839332405)	75230	45	80
POINT (303160.6204663191 6445579.675735312)	75231	70	120
POINT (305429.4699900911 6445451.099405982)	75232	10	140
POINT (310445.3137009891 6453193.47979678)	75235	45	310
POINT (312919.6294577052 6456682.931091944)	75236	15	225
POINT (315800.1937257407 6456923.095638389)	75237	40	85
POINT (316629.0733128748 6457732.555252329)	75238	15	130
POINT (321291.9488099258 6457082.616901031)	75239	20	350
POINT (328604.0902534665 6457985.756699604)	75240	40	340
POINT (333789.4006296472 6457735.367147459)	75241	70	335
POINT (334740.5525635337 6457866.139346752)	75242	40	345
POINT (335128.1120926085 6456764.461407127)	75243	30	335
POINT (324778.0676893223 6451139.300659139)	75249	30	205
POINT (323343.5019567886 6449446.427159607)	75250	25	200
POINT (322037.2892631093 6447087.697878812)	75251	40	195
POINT (320549.4327598669 6444511.057246437)	75252	35	205
POINT (316985.9178322683 6447282.314238856)	75253	30	170
POINT (317352.6661738519 6446332.992754369)	75254	25	155
POINT (312870.7873989124 6437458.641015388)	75258	25	335
POINT (313474.5316980295 6436880.381368762)	75259	75	330
POINT (313503.7767742769 6436003.715110667)	75260	75	330
POINT (308314.0841656924 6436629.032499546)	75262	40	150
POINT (307002.6392395281 6437987.828075677)	75263	10	260
POINT (303122.4327211536 6437966.022921394)	75266	40	155
POINT (304609.8227672863 6434047.97500062)	75269	80	335
POINT (303581.5799848475 6435079.3775321)	75270	40	330
POINT (303108.3483084254 6434273.672670139)	75271	65	145
POINT (300755.1785640458 6435646.999082478)	75274	10	145
POINT (292577.6384126791 6438147.243953369)	75275	80	155
POINT (293822.029309849 6436006.001061946)	75277	80	155
POINT (292674.9217599081 6431990.288846469)	75280	75	150
POINT (291680.1361436364 6430696.16490744)	75281	40	320
POINT (293657.0271438041 6431098.315733693)	75282	50	325
POINT (293803.4188588321 6430521.481044834)	75283	30	140
POINT (294068.8704676609 6430092.164032903)	75284	45	295
POINT (291698.1225207718 6426978.720973151)	75285	70	315
POINT (291943.8525685972 6426606.290650511)	75286	40	130
POINT (293763.9577247344 6426828.872867431)	75287	50	120
POINT (308231.0583133228 6428500.15597185)	75288	30	0
POINT (309172.6270411876 6427817.318977189)	75289	20	335
POINT (308906.0372496278 6420182.256846514)	75292	90	0
POINT (302982.3825003488 6423297.34737052)	75293	30	170
POINT (301828.7915384396 6424727.729242751)	75295	25	335
POINT (300750.2004778176 6425726.767005369)	75296	40	320
POINT (294545.1272483735 6423564.312084963)	75297	55	300
POINT (293742.965955892 6419920.771687169)	75298	80	290
POINT (295568.1105630324 6421344.459797995)	75299	60	310
POINT (296857.6789221936 6421313.623140454)	75300	55	305
POINT (296684.2259628403 6420396.639556762)	75301	0	305
POINT (299944.0956371194 6421333.417135017)	75304	40	315
POINT (301909.190747225 6422192.944540929)	75305	25	335
POINT (301322.1146677985 6421341.591536989)	75306	10	340
POINT (300286.383901039 6419208.120858965)	75307	10	130
POINT (298180.2972435011 6419001.640702561)	75309	50	300
POINT (296977.2273461145 6418690.272090691)	75310	65	295
POINT (296662.3274107836 6416831.312384586)	75311	45	295
POINT (297850.4741884378 6416786.581809039)	75312	10	295
POINT (301527.3448732075 6415732.323060825)	75313	25	130
POINT (296240.5287461653 6414875.874880291)	75314	30	295
POINT (297620.232344501 6413117.348793166)	75315	20	290
POINT (296651.8803311875 6411734.490426254)	75316	30	310
POINT (294460.7138391581 6412829.826244344)	75317	60	295
POINT (294597.1679659763 6412024.26556295)	75318	20	295
POINT (293875.2265306293 6411845.082046119)	75319	55	285
POINT (294163.579591034 6408905.771443062)	75320	40	290
POINT (295311.1945819857 6409070.343463149)	75321	35	230
POINT (294947.517430085 6408125.999027541)	75322	60	140
POINT (292047.3019018263 6405756.792285476)	75323	45	265
POINT (315119.6486037226 6408008.035424639)	75500	5	100
POINT (312617.0306029785 6406945.824383236)	75501	40	80
POINT (311566.6938496181 6407697.363490464)	75502	10	100
POINT (309597.2245353399 6407212.728172569)	75504	45	310
POINT (302223.4023576269 6409956.547348721)	75507	15	350
POINT (305245.1941076238 6406804.6141634)	75508	50	345
POINT (307056.0745703932 6408908.082908253)	75509	20	280
POINT (308481.2457853156 6408141.519410323)	75510	0	300
POINT (310348.849800928 6410830.286672262)	75511	25	320
POINT (310818.3955451514 6410320.486899358)	75512	15	320
POINT (320105.8832369882 6412299.356468765)	75513	40	135
POINT (321935.5338649109 6411708.628503103)	75514	45	140
POINT (327220.9705921256 6412679.412309018)	75515	30	150
POINT (332255.2833894659 6409586.754788375)	75516	55	335
POINT (333746.3750349667 6413517.113898782)	75517	10	130
POINT (330366.3151775224 6416894.131462285)	75518	35	145
POINT (329865.1945998297 6417937.378181469)	75519	20	140
POINT (326743.060242185 6417173.667315625)	75520	40	130
POINT (327361.0451149407 6414822.538435774)	75521	70	150
POINT (322815.3282864843 6415232.145500025)	75522	5	315
POINT (321696.6818739987 6417482.704281358)	75524	5	180
POINT (322539.8309586836 6421425.328517817)	75525	0	145
POINT (324945.7321698485 6423700.391511766)	75526	10	275
POINT (322876.4463599344 6423062.152890647)	75527	0	140
POINT (322257.8302428996 6422737.842957955)	75528	50	320
POINT (318714.1596203647 6422179.435917299)	75529	20	150
POINT (318799.4045694123 6423038.19813142)	75530	0	160
POINT (319861.875866727 6424511.037108838)	75531	20	320
POINT (322328.9155207482 6429709.984583268)	75533	70	330
POINT (324122.1317603806 6430059.308440451)	75534	70	300
POINT (324217.7776009348 6430575.13131003)	75535	20	295
POINT (324693.3922658575 6432270.479757121)	75536	70	330
POINT (323876.7467201994 6436939.16539078)	75537	60	335
POINT (327093.8399734573 6435555.928311599)	75538	75	355
POINT (334021.8035656119 6435635.32546478)	75540	70	350
POINT (336426.9714308503 6431987.443107288)	75560	15	25
POINT (336405.1386498741 6431682.232235815)	75561	5	180
POINT (336037.5172092397 6431614.731998804)	75562	15	40
POINT (330279.0848140136 6427645.72711914)	75563	15	325
POINT (332651.0634870422 6425204.99899234)	75564	35	160
POINT (334357.3960939802 6425922.057375342)	75565	20	160
POINT (264481.167533103 6440838.017176915)	75660	20	175
POINT (281275.3594370306 6436846.082258509)	75661	55	295
POINT (305231.8579330483 6432986.932244526)	75662	60	335
POINT (259308.7655160211 6412758.1776737)	75663	50	300
POINT (254837.0679176079 6407906.687886109)	75664	45	295
POINT (253661.8255664501 6406305.509604337)	75665	75	300
POINT (299449.8546450473 6419599.595675356)	76217	0	0
POINT (311091.0213912471 6407641.499422188)	76221	0	0
POINT (319207.3650034778 6415283.069229346)	76222	0	0
