X,Y,Z,angle,lsx,lsy,formation,group
302678.3007701097,6446692.777769013,353.43703494913007,164.64271433451512,0.26483730506655934,-0.9642931099230576,Umberatana_Group,Heysen_Supergroup
302596.9639352091,6448366.957806464,344.22320981348486,17.603406742240537,-0.302426565854837,-0.9531726875363403,Umberatana_Group,Heysen_Supergroup
303041.0115154083,6448988.573863942,339.2692628752341,137.90649415122698,-0.670342515904597,0.7420518252593244,Umberatana_Group,Heysen_Supergroup
307323.3720995921,6448743.02835301,307.45088649347235,73.72378802019408,-0.9599217362498863,-0.2802681934772541,Umberatana_Group,Heysen_Supergroup
309449.0151694251,6446773.782754617,304.94445024271465,12.026772563867095,0.2083687265347721,0.9780503431839678,Umberatana_Group,Heysen_Supergroup
308723.91112200316,6445440.2750721285,312.6469789589931,53.50873718998795,0.8039475574226098,0.5947001975064573,Umberatana_Group,Heysen_Supergroup
305973.4263679521,6443540.351028858,337.8178513509797,53.400849491481836,0.8028263149852689,0.5962129719883439,Umberatana_Group,Heysen_Supergroup
304391.3203189515,6442355.482490257,369.0655109467839,30.25874832699286,0.5039058677195458,0.8637585753425616,Umberatana_Group,Heysen_Supergroup
304331.757294356,6441493.34847286,357.7481432798378,163.18020965029578,-0.2893624443245894,0.957219606889923,Umberatana_Group,Heysen_Supergroup
292692.3797128936,6432748.023249493,491.55947402401335,178.11546061586031,0.03288548688657701,-0.9994591261038306,Umberatana_Group,Heysen_Supergroup
292667.8003275249,6434277.19456684,481.5505249551069,162.53675232841647,0.3000939767659093,-0.9539096420043263,Umberatana_Group,Heysen_Supergroup
291941.99830228277,6436625.337903797,498.58342298471933,151.56168163986808,0.47621239539499294,-0.8793302874757375,Umberatana_Group,Heysen_Supergroup
293408.08759529353,6438580.148935437,515.7841654933858,79.06661721137762,0.9818483715419423,0.18966753886850538,Emeroo_Subgroup,Warrina_Supergroup
289343.57839124167,6436682.71221842,527.4009053293632,164.00844402603897,0.27549568586611545,-0.9613023078455385,Emeroo_Subgroup,Warrina_Supergroup
290910.78009924357,6442837.82309426,579.974582327023,174.57683202438395,0.0945108685167784,-0.9955238298163456,Emeroo_Subgroup,Warrina_Supergroup
296495.7713035266,6444632.667846035,424.4984820799571,38.19853142701507,-0.6183882525154119,-0.7858727436111621,Emeroo_Subgroup,Warrina_Supergroup
289800.2460719353,6436604.602237638,517.723649328429,72.37563436929422,0.9530619956413167,0.3027752177180141,Emeroo_Subgroup,Warrina_Supergroup
301245.55672094226,6443862.044445246,405.4031091131613,33.3672168754963,-0.5500029722102894,-0.8351626970595893,Yudnamutana_Subgroup,Heysen_Supergroup
301616.5809798948,6448901.221594537,353.77124807032004,7.88556326547868,-0.1371949644428969,-0.990544063498193,Yudnamutana_Subgroup,Heysen_Supergroup
264819.6038124269,6409279.469093746,491.3696809226132,7.188777400328956,0.12513890435023511,0.9921392314680548,Burra_Group,Warrina_Supergroup
268111.9782083201,6406722.741864067,452.87088485101447,45.07850578921841,-0.7080749838744558,-0.7061372509726345,Burra_Group,Warrina_Supergroup
251501.45998068544,6452250.646066437,418.9448416256885,54.31611058464436,-0.81224757650695,-0.5833128444142014,ABC_Range_Quartzite,Wilpena_Group
254471.28369636444,6456822.407059945,434.20671026767593,31.159382392935385,-0.5174205021416127,-0.8557312802296766,ABC_Range_Quartzite,Wilpena_Group
255081.59717373998,6456544.173926562,437.8501194553777,25.44585737096986,0.4296579912832278,0.9029917001426214,ABC_Range_Quartzite,Wilpena_Group
252128.74886645377,6451891.2102699345,391.7239433564423,60.57993352902018,0.8710418304408761,0.4912088452198391,ABC_Range_Quartzite,Wilpena_Group
255923.41743461345,6456704.666534231,419.4528595211338,21.78127522207102,0.37106437817456245,0.9286071436565224,Wilpena_Group,Heysen_Supergroup
253038.33246694488,6452139.623006307,375.8767607360811,38.85779360074404,0.6273896017973255,0.7787055204354167,Wilpena_Group,Heysen_Supergroup
